,PaperName,Year,sources,place,authors
0,Deferred Dropout: An Algorithm-Hardware Co-Design DNN Training Method Provisioning Consistent High Activation Sparsity.,2021,IEEE, Germany,"Kangkyu Park, Yunki Han, Lee-Sup Kim"
1,Overcoming the Memory Hierarchy Inefficiencies in Graph Processing Applications.,2021,IEEE, Germany,"Jilan Lin, Shuangchen Li, Yufei Ding, Yuan Xie"
2,Doomed Run Prediction in Physical Design by Exploiting Sequential Flow and Graph Learning.,2021,IEEE, Germany,"Yi-Chen Lu, Siddhartha Nath, Vishal Khandelwal, Sung Kyu Lim"
3,Manufacturing Cycle-Time Optimization Using Gaussian Drying Model for Inkjet-Printed Electronics.,2021,IEEE, Germany,"Tsun-Ming Tseng, Meng Lian, Mengchu Li, Philipp Rinklin, Leroy Grob, Bernhard Wolfrum, Ulf Schlichtmann"
4,Exploring Physical Synthesis for Circuits based on Emerging Reconfigurable Nanotechnologies.,2021,IEEE, Germany,"Andreas Krinke, Shubham Rai, Akash Kumar, Jens Lienig"
5,FL-DISCO: Federated Generative Adversarial Network for Graph-based Molecule Drug Discovery: Special Session Paper.,2021,IEEE, Germany,"Daniel Manu, Yi Sheng, Junhuan Yang, Jieren Deng, Tong Geng, Ang Li, Caiwen Ding, Weiwen Jiang, Lei Yang"
6,DAPA: A Dataflow-Aware Analytical Placement Algorithm for Modern Mixed-Size Circuit Designs.,2021,IEEE, Germany,"Jai-Ming Lin, Wei-Fan Huang, Yao-Chieh Chen, Yi-Ting Wang, Po-Wen Wang"
7,O-HAS: Optical Hardware Accelerator Search for Boosting Both Acceleration Performance and Development Speed.,2021,IEEE, Germany,"Mengquan Li, Zhongzhi Yu, Yongan Zhang, Yonggan Fu, Yingyan Lin"
8,Contrastive Learning with Temporal Correlated Medical Images: A Case Study using Lung Segmentation in Chest X-Rays (Invited Paper).,2021,IEEE, Germany,"Dewen Zeng, John N. Kheir, Peng Zeng, Yiyu Shi"
9,Multi-Objective Optimization of ReRAM Crossbars for Robust DNN Inferencing under Stochastic Noise.,2021,IEEE, Germany,"Xiaoxuan Yang, Syrine Belakaria, Biresh Kumar Joardar, Huanrui Yang, Janardhan Rao Doppa, Partha Pratim Pande, Krishnendu Chakrabarty, Hai Helen Li"
10,From Specification to Silicon: Towards Analog/Mixed-Signal Design Automation using Surrogate NN Models with Transfer Learning.,2021,IEEE, Germany,"Juzheng Liu, Shiyu Su, Meghna Madhusudan, Mohsen Hassanpourghadi, Samuel Saunders, Qiaochu Zhang, Rezwan A. Rasul, Yaguang Li, Jiang Hu, Arvind Kumar Sharma, Sachin S. Sapatnekar, Ramesh Harjani, Anthony Levi, Sandeep Gupta, Mike Shuo-Wei Chen"
11,Generalizable Cross-Graph Embedding for GNN-based Congestion Prediction.,2021,IEEE, Germany,"Amur Ghose, Vincent Zhang, Yingxue Zhang, Dong Li, Wulong Liu, Mark Coates"
12,Toward Security Closure in the Face of Reliability Effects ICCAD Special Session Paper.,2021,IEEE, Germany,"Jens Lienig, Susann Rothe, Matthias Thiele, Nikhil Rangarajan, Mohammed Ashraf, Mohammed Nabeel, Hussam Amrouch, Ozgur Sinanoglu, Johann Knechtel"
13,Theoretical Analysis and Evaluation of NoCs with Weighted Round-Robin Arbitration.,2021,IEEE, Germany,"Sumit K. Mandal, Jie Tong, Raid Ayoub, Michael Kishinevsky, Ahmed Abousamra, Ümit Y. Ogras"
14,VeriGOOD-ML: An Open-Source Flow for Automated ML Hardware Synthesis.,2021,IEEE, Germany,"Hadi Esmaeilzadeh, Soroush Ghodrati, Jie Gu, Shiyu Guo, Andrew B. Kahng, Joon Kyung Kim, Sean Kinzer, Rohan Mahapatra, Susmita Dey Manasi, Edwin Mascarenhas, Sachin S. Sapatnekar, Ravi Varadarajan, Zhiang Wang, Hanyang Xu, Brahmendra Reddy Yatham, Ziqing Zeng"
15,CORLD: In-Stream Correlation Manipulation for Low-Discrepancy Stochastic Computing.,2021,IEEE, Germany,"Sina Asadi, M. Hassan Najafi, Mohsen Imani"
16,ToPro: A Topology Projector and Waveguide Router for Wavelength-Routed Optical Networks-on-Chip.,2021,IEEE, Germany,"Zhidan Zheng, Mengchu Li, Tsun-Ming Tseng, Ulf Schlichtmann"
17,Evolving Complementary Sparsity Patterns for Hardware-Friendly Inference of Sparse DNNs.,2021,IEEE, Germany,"Elbruz Ozen, Alex Orailoglu"
18,Optimized Data Reuse via Reordering for Sparse Matrix-Vector Multiplication on FPGAs.,2021,IEEE, Germany,"Shiqing Li, Di Liu, Weichen Liu"
19,Federated Contrastive Learning for Dermatological Disease Diagnosis via On-device Learning (Invited Paper).,2021,IEEE, Germany,"Yawen Wu, Dewen Zeng, Zhepeng Wang, Yi Sheng, Lei Yang, Alaina J. James, Yiyu Shi, Jingtong Hu"
20,BOOM-Explorer: RISC-V BOOM Microarchitecture Design Space Exploration Framework.,2021,IEEE, Germany,"Chen Bai, Qi Sun, Jianwang Zhai, Yuzhe Ma, Bei Yu, Martin D. F. Wong"
